source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,base_translation_only,base_basic_clean
"To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.","Um einen Datenanbieter oder ein Datenprodukt als Lesezeichen festzulegen, klicken Sie einfach auf das Lesezeichensymbol auf der entsprechenden Datenanbieter- bzw. Datenproduktseite.",{'data provider': 'Datenanbieter'},"Setzen Sie einen Datenanbieter oder ein Datenprodukt als Favorit ein, indem Sie den Favoriten-Icon auf der entsprechenden Seite des Datenanbieters oder des Datenprodukts klicken.","Nehmen Sie nur den deutschen Übersetzungssatz zurück. Lassen Sie nicht erklären.
Wenn ein Quellterm im Englischen-Satz vorkommt, verwenden Sie den exakten deutschen Zieltermin in der Terminologieliste.

Terminologie:
datenanbieter -> Datenanbieter","Sobald Sie einen Datenprovider oder ein Datenprodukt als Favorit festlegen möchten, klicken Sie einfach auf den Favoriten-Icon am entsprechenden Datenprovider oder -Produktseiten.","Gerne! Hier ist die deutsche Übersetzung:

Deine Einstellungen für einen Datenanbieter oder ein Data-Product können Sie mithilfe des Markterzeichen auf der entsprechenden Seite übernehmen.",Deine Einstellungen für einen Datenanbieter oder ein Data-Product können Sie mithilfe des Markterzeichen auf der entsprechenden Seite übernehmen.,{'data provider': 'Datenanbieter'},"Setze den Datenanbieter oder das Datenprodukt als Markierung ein, indem du die Markierungs-Icone auf der entsprechenden Datenanbieter- oder Datenproduktseite klickst.","Um einen Datenaustausch- oder -produkt als Favorit zu setzen, klicken Sie einfach auf den Favoriten-Icon auf der entsprechenden Datenanbieter- oder -Produktseite."
Expand rows to show the distribution of assignments for resources,"Zeilen aufklappen, um die Verteilung der Einsätze für Ressourcen anzuzeigen",{'expand': 'aufklappen'},"Ablagezeilen ausdehnen, um die Aufteilung von Aufgaben für Ressourcen zu zeigen",Auffrischen der Zeilen um die Verteilung von Aufgaben für Ressourcen zu zeigen,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","German: Aufklappen Sie Zeilen, um die Zuordnungsdistribution für Ressourcen zu sehen","German: Aufklappen Sie Zeilen, um die Zuordnungsdistribution für Ressourcen zu sehen",{'expand': 'aufklappen'},"aufklappen, um die Verteilung der Aufgaben für Ressourcen zu zeigen",Aufflachen Zeilen um die Verteilung von Aufgaben für Ressourcen zu zeigen
You can create different versions of an object in the Business Builder.,Sie können im Business Builder verschiedene Versionen eines Objekts erstellen.,{'create': 'erstellen'},Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Erstelle verschiedene Versionen eines Objekts im Geschäfts-Baum.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,{'create': 'erstellen'},Erstelle verschiedene Versionen eines Objekts im Business Builder.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.
Red is a hot space running high on memory.,"Rot deutet auf einen Space hin, der viel Speicherplatz benötigt.",{'space': 'Platz'},Rot ist ein heißer Platz mit hohem Speicherbedarf.,Rot ist ein heißer Platz mit hohem Speicherverbrauch.,Red ist ein Hot Space mit hoher Speicherspanne.,Platz ist ein heißer Raum mit einem hohen Speicherbedarf.,Platz ist ein heißer Raum mit einem hohen Speicherbedarf.,{'space': 'Platz'},Platz ist ein heißer Raum mit hohem Speicherplatzverbrauch.,Rot ist ein heißer Raum mit hohem Speicherplatzverbrauch.
"To create a new data provider profile, click Create Data Provider Profile.","Um ein neues Datenprovider-Profil zu erstellen, klicken Sie auf Datenprovider-Profil erstellen.","{'data provider': 'Datenprovider', 'create': 'erstellen'}",Erstelle ein neues Profil des Datenproviders.,Erstelle ein neues Profil des Datenproviders und klicke auf Erstellen.,"Gerne! Hier ist die deutsche Übersetzung:

Erstellen Sie ein neues Profil für einen Datenverleiher, indem Sie das Schließen von Datenverleih-Profil auswählen.","Erstellen Sie ein neues Profil für einen Datenprovider, indem Sie das Feld Erstellen auswählen.","Erstellen Sie ein neues Profil für einen Datenprovider, indem Sie das Feld Erstellen auswählen.","{'data provider': 'Datenprovider', 'create': 'erstellen'}",Erstelle ein neues Profil des Datenproviders.,"Erstelle ein neues Profil des Datenproviders, indem Sie das Schließen von ""Datenprovider-Profil erstellen"" klicken."
For a step-by-step guide to create an SAP ticket and enable the machine learning libraries take a look at this SAP Knowledge Base Article:,Eine Schritt-für-Schritt-Anleitung zum Erstellen einer SAP-Meldung und zum Aktivieren der Machine-Learning-Bibliotheken finden Sie im folgenden SAP Knowledge Base Article:,"{'Machine Learning': 'Machine Learning', 'machine learning': 'Machine Learning', 'Knowledge Base': 'Knowledge Base', 'knowledge base': 'Knowledge-Base', 'create': 'erstellen'}",Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Tickets und zur Aktivierung der maschinelle Lernbibliotheken siehe dieses SAP-Knowhow-Buchstabe:,"Sollte ein Quellterm im Englischen vorkommen, verwenden Sie den exakten deutschen Zielterm aus der Terminologieliste.

Terminologie:
Machine Learning -> Machine Learning
Knowledge Base -> Knowledge-Base
create -> erstellen

Deutsch: Für eine Schritt-für-Schritt-Anleitung zur Erstellung eines SAP-Tickets und zum Aktivieren der Maschinelles Lernen-Libraries seien Sie auf diese SAP-Knowledge Base-Artikel verwiesen.",SAP Tickets erstellen und die Maschinelles Lernen-Unterstützung aktivieren – Hierbei ist ein Schritt-für-Schritt-Anleitung zu finden.,SAP Ticket erstellen und die Bibliotheken des Machine Learning aktivieren können Sie hier finden: SAP-Knowledge Base Artikel:,SAP Ticket erstellen und die Bibliotheken des Machine Learning aktivieren können Sie hier finden: SAP-Knowledge Base Artikel:,"{'Machine Learning': 'Machine Learning', 'machine learning': 'Machine Learning', 'Knowledge Base': 'Knowledge Base', 'knowledge base': 'Knowledge-Base', 'create': 'erstellen'}",Für eine Schritt-für-Schritt-Anleitung zur Erstellung eines SAP-Tickets und zum Aktivieren der Maschinelles Lernen-Libraries siehe diesen SAP-Knowhow-Buchstabe:,Für eine Schritt-für-Schritt-Anleitung zur Erstellung eines SAP-Tickets und zum Aktivieren der Maschinelles Lernen-Libraries siehe diesen SAP-Know-how-Buchstabe:
You can use the interactive tiles above the table to filter by download history and statistic numbers like the publishing status and the visibility.,"Sie können die interaktiven Kacheln oberhalb der Tabelle verwenden, um nach Download-Verlauf und statistischen Zahlen wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.",{'history': 'Verlauf'},"Du kannst die interaktiven Tile über dem Tabellebereich verwenden, um den Downloadverlauf und Statistiken wie der Veröffentlichungsstatus und die Sichtbarkeit zu filtern.","Du kannst die interaktiven Tile über dem Tabelle bearbeiten, um nach der Download-Verlauf und Statistik wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.","Sie können die interaktiven Tile über der Tabelle verwenden, um nach Downloads und Statistik wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.","Verwenden Sie die interaktiven Tile im oberen Bereich der Tabelle, um den Verlauf des Downloads und Statistiken wie dem Status der Veröffentlichung und der Sichtbarkeit zu filtern.","Verwenden Sie die interaktiven Tile im oberen Bereich der Tabelle, um den Verlauf des Downloads und Statistiken wie dem Status der Veröffentlichung und der Sichtbarkeit zu filtern.",{'history': 'Verlauf'},"Du kannst die interaktiven Tile über dem Tabellebereich verwenden, um den Verlauf und Statistiken wie der Veröffentlichungsstatus und die Sichtbarkeit zu filtern.","Sie können die interaktiven Tile über dem Tisch verwenden, um den Verlauf und Statistiken wie der Veröffentlichungsstatus und die Sichtbarkeit zu filtern."
The file system must be provided.,Das Dateisystem muss angegeben werden.,{'provided': 'angegeben'},Der Dateisystem muss angegeben werden.,Der Dateisystem muss angegeben werden.,Gerne! Bitte geben Sie den deutschen Übersetzungssatz an.,Geräteverwaltung muss angegeben werden.,Geräteverwaltung muss angegeben werden.,{'provided': 'angegeben'},Der Dateisystem muss angegeben werden.,Der Dateisystem muss angegeben werden.
Data updates can be delivered by the data provider.,Datenaktualisierungen können vom Datenprovider bereitgestellt werden.,{'data provider': 'Datenprovider'},Datenupdates können vom Datenprovider verteilt werden.,Datenupdates können vom Datenprovider geliefert werden.,Data-updates können vom Daten-Provider übermittelt werden.,Data-updates können vom Datenprovider übermittelt werden.,Data-updates können vom Datenprovider übermittelt werden.,{'data provider': 'Datenprovider'},Daten können von dem Datenprovider aktualisiert werden.,Daten können von dem Datenprovider aktualisiert werden.
"Spaces are environments that bring data models, connections, compute and storage resources together for a specific line of business or use-case.","Bei Spaces handelt es sich um Umgebungen, die Datenmodelle, Verbindungen und Rechen- und Speicherressourcen für einen bestimmten Geschäftsbereich oder einen spezifischen Anwendungsfall zusammenführen.","{'line of business': 'Geschäftsbereich', 'storage': 'Speicher'}","Räume sind Umgebungen, in denen Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsbereich oder Anwendungszweck zusammengefasst werden.","Gehäuse sind Umgebungen, die Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsbereich oder Anwendungszweck zusammenbringen.","Spaces sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein spezifisches Geschäftsmodell oder -fall zusammenbringen.","Ressourcen sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein bestimmtes Geschäftsbereich oder -fall zusammenbringen.","Ressourcen sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein bestimmtes Geschäftsbereich oder -fall zusammenbringen.","{'line of business': 'Geschäftsbereich', 'storage': 'Speicher'}","Geschäftsbereiche sind Umgebungen, die Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsmodell oder Anwendungszweck zusammenbringen.","Raumfreie Umgebungen kombinieren Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsbereich oder Anwendungszweck zusammen."
"By default, you see your object’s business name.",Standardmäßig wird der betriebswirtschaftliche Name Ihres Objekts angezeigt.,{'business name': 'betriebswirtschaftlicher Name'},Standardmäßig sehen Sie Ihr Objekts Betriebswirtschaftlicher Name.,Betriebswirtschaftlicher Name wird standardmäßig angezeigt.,Defaultmäßig sehen Sie Ihre Objekte ihre Geschäftsname.,Standardmäßig sehen Sie Ihre Objekte Betriebswirtschaftliche Namen.,Standardmäßig sehen Sie Ihre Objekte Betriebswirtschaftliche Namen.,{'business name': 'betriebswirtschaftlicher Name'},Deine Objektname wird standardmäßig angezeigt.,Standardmäßig sehen Sie Ihr Objekts betriebswirtschaftlicher Name.
Lists substitution strategies that fulfill specified search criteria.,"Führt Ersetzungsstrategien auf, die spezifische Suchkriterien erfüllen.",{'substitution': 'Ersetzung'},"Listen Siehst du, wie wir es machen?",Ersetzungsstrategien für spezifische Suchkriterien vorstellen.,Suchstrategien für die Zuweisung von Listen an bestimmte Suchkriterien auswählen.,"Erstellen Sie Listen der Ersetzungsstrategien, die auf bestimmte Suchkriterien zufinden.","Erstellen Sie Listen der Ersetzungsstrategien, die auf bestimmte Suchkriterien zufinden.",{'substitution': 'Ersetzung'},Ersetzungsstrategien zur Füllung von spezifischeren Suchkriterien.,"Ersetzungsstrategien finden, die spezifische Suchkriterien erfüllen."
[if Enable Compound Triggers = false] Triggers Record Primary Keys Only,[wenn Zusammengesetzte Auslöser aktivieren = falsch] Löst nur Primärschlüssel für Datensätze aus,{'trigger': 'Auslöser'},[Wenn Enable Compound Triggers = false] Erstelle nur die Primärschlüssel als Auslöser,[Wenn Enable Compound Triggers = false] Erstelle nur die Primärschlüssel.,Triggers Record Primary Keys Only wenn Enable Compound Triggers = false,"Gerne! Hier ist die deutsche Übersetzung:

[Wenn Enable Compound Triggers = false] Triggers Record Primary Keys Only",[Wenn Enable Compound Triggers = false] Triggers Record Primary Keys Only,{'trigger': 'Auslöser'},[Auslöser Treffer Primärschlüssel nur erfassen],[Auf wenn Enable Compound Triggers = false] Triggers Record Primary Keys Only
"With the Story Builder, you can create stories to visualize information with charts and tables.","Mit dem Story Builder können Sie Storys erstellen, um Informationen mithilfe von Diagrammen und Tabellen zu visualisieren.",{'create': 'erstellen'},"Mit dem Story-Buildervielfältigere Informationen darstellen können Sie Geschichten erstellen, die Tabellen und Diagramme verwenden.","Mit dem Story-Buildervielfältigere Informationen darstellen können Sie Geschichten erstellen, die Tabellen und Grafiken enthält.","Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu lassen.","Gerne! Hier ist die deutsche Übersetzung:

Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu können.","Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu können.",{'create': 'erstellen'},"Mit dem Story-Buildervielen Sie, Geschichten zu erstellen, um Informationen mit Charten und Tabellen darzustellen.","Mit dem Story-Buildervielen Sie, um Informationen mit Charten und Tabellen zu visualisieren, Geschichten zu erstellen."
"Currently, only one space can connect to data lake.",Derzeit kann nur ein Space mit Data Lake verbunden werden.,{'space': 'Space'},Derzeit kann nur ein Space Datenlake verbinden.,Derzeit kann nur ein Leerzeichen zu einem Datenlager verbunden werden.,"Gerne! Hier ist die deutsche Übersetzung:

Dein Space kann momentan nur mit einem Data Lake verbunden werden.","Gerne! Hier ist die deutsche Übersetzung:

Dein Name oder E-Mail wird nicht veröffentlicht. Das Feld ""E-Mail"" ist erforderlich.","Dein Name oder E-Mail wird nicht veröffentlicht. Das Feld ""E-Mail"" ist erforderlich.",{'space': 'Space'},Zu diesem Zeitpunkt ist nur ein Raum zu einem Datenlager verbunden.,Zu diesem Zeitpunkt ist nur eine Datenlager-Space verbunden.
Control your projection in the Columns section of its side panel:,Steuern Sie Ihre Projektion unter Spalten im zugehörigen Seitenbereich:,{'side panel': 'Seitenbereich'},Verwende deine Projektion im Abschnitt der Seitenbereich des Projektor:,Seitenbereich des Projektorcontrols im Abschnitt der Spaltenkarte:,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Englisch: Control your projection in the Columns section of its side panel:
Deutsch: Kontrollieren Sie Ihre Projektion im Abschnitt der Spalten des Seitenbereichs:","Englisch: Control your projection in the Columns section of its side panel:
Deutsch: Kontrollieren Sie Ihre Projektion im Abschnitt der Spalten des Seitenbereichs:",{'side panel': 'Seitenbereich'},Verwende die angegebene Terminologie im Bereich der Spalten des Seitenbereichs:,Registriere deine Projektion im Bereich des Seitenbereichs der Seite:
In the Capacity Plan Simulation the capacity of the work center is displayed for the defined time period (bucket).,In der Kapazitätsplansimulation wird die Kapazität des Arbeitsplatzes für den festgelegten Zeitraum (Periode) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstisches für die definierte Zeitperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstages für die definierte Zeitperiode (Periode) angezeigt.,In der KapazitätsplanungsSimulation wird die Kapazität des Arbeitsplatzes für den definierten Zeitraum (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitszentrums für die definierte Zeitperiode (Periode) angezeigt.,Im Kapazitätsplan-Simulation wird die Kapazität des Arbeitszentrums für die definierte Zeitperiode angezeigt (Periode).
[optional] Click the Actions button on an item to specify filters and sorting as appropriate.,"(Optional) Klicken Sie neben einer Position auf die Schaltfläche Aktionen, um je nach Bedarf Filter und Sortierungen festzulegen.",{'item': 'Position'},"Klicken Sie auf den Button ""Actions"" auf einer Position, um Filter und Sortierung entsprechend zu spezifizieren.",Position -> Position,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Optional: Klicken Sie auf das Symbol für Aktionen auf einer Position, um Filter und Sortierung zu spezifizieren, die erforderlich sind.","Optional: Klicken Sie auf das Symbol für Aktionen auf einer Position, um Filter und Sortierung zu spezifizieren, die erforderlich sind.",{'item': 'Position'},"Klicken Sie auf den Button ""Actions"" auf einer Position, um Filter und Sortierung zu spezifizieren, die passend sind.","Klicken Sie auf den Button ""Aktionen"" auf einer Position, um Filter und Sortierung entsprechend zu spezifizieren."
The skills match percentage varies depending on whether matching is based exclusively on the resource's skills or whether skills from other assignments are taken into account.,"Die prozentuale Qualifikationsübereinstimmung variiert in Abhängigkeit davon, ob der Abgleich ausschließlich auf den Qualifikationen der Ressource basiert oder ob auch Qualifikationen aus anderen Einsätzen berücksichtigt werden.",{'percentage': 'prozentual'},"Der Prozentsatz der Übereinstimmungen hängt von der Art des Matches ab, ob es sich um einen Match basierend auf den Fähigkeiten des zugewiesenen Auftrags handelt oder um einen Match, bei dem Fähigkeiten aus anderen Aufträgen berücksichtigt werden.","Der Wettbewerbsanteil variiert hingegen je nachdem, ob der Vergleich ausschließlich auf die Fähigkeiten des Matches basiert oder ob Fähigkeiten aus anderen Aufträgen berücksichtigt werden.","Die Matching-Percentuale hängt von der Art ab, wie Sie die Matching-Einstellungen festlegen. Wenn Sie nur auf den Skill des Ressourcen basieren, wird die Matching-Percentuale höher.","Die Prozentsatz-Vergleiche variieren je nachdem, ob die Verwaltung auf der Grundlage der Fähigkeiten des Ressourcen oder auf der Grundlage von Fähigkeiten aus anderen Auftritten abgestimmt wird.","Die Prozentsatz-Vergleiche variieren je nachdem, ob die Verwaltung auf der Grundlage der Fähigkeiten des Ressourcen oder auf der Grundlage von Fähigkeiten aus anderen Auftritten abgestimmt wird.",{'percentage': 'prozentual'},"Der Prozentsatz der Übereinstimmungen hängt von der Art ab, wie die Übereinstimmung basiert – entweder auf den Fähigkeiten des Fachmanns oder sowohl auf den Fähigkeiten anderer Aufträge als auch auf den Fähigkeiten des Fachmanns.","Der Skalierungsfaktor variiert je nachdem, ob die Übereinstimmung ausschließlich auf den Fähigkeiten des Matching-Objekts basiert oder ob Fähigkeiten aus anderen Aufträgen berücksichtigt werden."
[if Enable Compound Triggers = false and Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,[wenn Zusammengesetzte Auslöser aktivieren = falsch und Löst nur Primärschlüssel für Datensätze aus = falsch] Löst nur Pseudospalte ROWID für Datensatz aus,{'trigger': 'Auslöser'},[Wenn Enable Compound Triggers = false und Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,Auslöser werden nur die ROWID-Pseudokolumne berücksichtigt.,[Wenn Enable Compound Triggers = false und Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,"Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.",{'trigger': 'Auslöser'},"[Auslöser, der die Einstellung Enable Compound Triggers auf false und die Einstellung Triggers Record Primary Keys Only auf false hat], triggert den Wert des Pseudocolumns ROWID nur.","[Auslöser, die Compound Triggers aktiviert sind und die Einträge nur den Primärschlüssel berücksichtigen sollen, sondern lediglich die ROWID-Pseudokanal werden ausgelöst.]"
For more information please see Space Monitoring.,Weitere Informationen finden Sie unter Space-Überwachung.,{'monitoring': 'Überwachung'},Für weitere Informationen siehe Raumüberwachung.,Überwachung für weitere Informationen siehe Raumüberwachung.,Space Monitoring Informationen finden Sie hier.,Space Monitoring.,Space Monitoring.,{'monitoring': 'Überwachung'},Für weitere Informationen siehe Überwachung.,Für weitere Informationen siehe Raumüberwachung.
Revoking Access to the Schedule,Zugriff auf den Terminplan entziehen,{'schedule': 'Terminplan'},Entlassung des Zugriffs auf den Terminplan,"Entschuldigung, aber Sie haben keine Übersetzung für ""revoking access to the schedule"" im angegebenen Termin-Liste gefunden. Vielleicht gibt es eine andere Übersetzung oder terminologische Definition?",Verweigerung der Zugriff auf die Planung,Terminplan zurückgeben,Terminplan zurückgeben,{'schedule': 'Terminplan'},"Entschuldigung, aber ich kann keine Übersetzung für den Satz ""Revoking Access to the Schedule"" in die deutsche Sprache übersetzen, da der Satz sich auf eine technische oder administrativen Aktion bezieht und nicht direkt auf einen Terminplan bezogen ist. Der Terminplan ist ein solcher Terminplan.","Entschuldigung, aber ich kann keine Übersetzung für ""revoking Access to the Schedule"" bereitstellen, da es sich um ein englischsprachiges Begriffsschema handelt und nicht um einen deutschen Begriff. Wenn Sie eine deutsche Übersetzung benötigen, könnte ich Ihnen stattdessen den Kontext oder die Bedeutung des Satzes geben?"
"Alternatively, select Favorites to show your favorited objects across all spaces.","Alternativ können Sie Favoriten auswählen, um Ihre bevorzugten Objekte in allen Spaces anzuzeigen.",{'space': 'Space'},"Alternativ können Sie Favoriten auswählen, um Ihre favorisierten Objekte auf allen Spaces zu zeigen.","Alternatively, select Favorites to show your favorited objects across all Spaces.",Gerne helfe ich Ihnen gerne!,"Alternatively, select Favoriten, so that you can see your favorite objects in all Spaces.","Alternatively, select Favoriten, so that you can see your favorite objects in all Spaces.",{'space': 'Space'},"Alternativ wählen Sie die Favoriten aus, um Ihre favorisierten Objekte auf allen Räumen zu zeigen.","Alternativ wählen Sie Favoriten, um Ihre favorisierten Objekte auf allen Räumen zu zeigen."
Validate your code and update the display of your output structure in the side panel at any time by clicking .,"Validieren Sie Ihren Code, und aktualisieren Sie jederzeit die Anzeige Ihrer Ausgabestruktur im Seitenbereich, indem Sie auf  klicken.",{'side panel': 'Seitenbereich'},Überprüfe dein Code und aktualisiere die Anzeige deines Ausgabestrusts im Seitenbereich jederzeit durch Klicken.,Überprüfen Sie Ihre Code-Implementierung und aktualisieren Sie die Anzeige Ihrer Ausgabestruktur im Seitenbereich jederzeit durch Klicken.,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie auf Deutsch übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.",{'side panel': 'Seitenbereich'},Überprüfen Sie Ihre Codezeichenfolge und aktualisieren Sie den Ausgabebereich im Seitenbereich jederzeit durch Klicken.,Überprüfe dein Code und aktualisiere den Ausgabestrukturierungsansicht im Seitenbereich jederzeit durch Klicken.
Database Name and Service Name.,Datenbankname oder Servicename.,{'service': 'Service'},Datenbankname und Dienstname.,Datenbankname und Dienstname.,Databasename und Dienstname,Service-Name und Datenbankname.,Service-Name und Datenbankname.,{'service': 'Service'},Service-Namen und Datenbankname.,Datenbankname und Dienstname
"adding users, connections, and creating open SQL schemas in Space Management is blocked","Hinzufügen von Benutzern, Verbindungen und Erstellung von Open-SQL-Schemas im Space-Management gesperrt",{'blocked': 'gesperrt'},"Hinzufügen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemas im Raumverwaltung ist gesperrt.","Erstellen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemas im Raumverwaltung ist gesperrt.","Space Management: Benutzer hinzufügen, Verbindungen erstellen und Open-SQL-Datenbanken erstellen ist blockiert","Geben Sie Benutzer, Verbindungen und die Erstellung von offenen SQL-Schemas im Raumverwaltung an, ist gesperrt","Geben Sie Benutzer, Verbindungen und die Erstellung von offenen SQL-Schemas im Raumverwaltung an, ist gesperrt",{'blocked': 'gesperrt'},"Gesperrt ist die Verwendung des angegebenen Terminologie bei der Einführung von Benutzern, Verbindungen und das Erstellen von offenen SQL-Schemas im Raumverwaltung.","Erstellen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemas im Raumverwaltung ist gesperrt."
Create a Graphical View,Erstellen von grafischen Views,{'create': 'erstellen'},Erstelle eine Grafische Ansicht,Erstelle eine Grafische Ansicht,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:",{'create': 'erstellen'},Erstelle eine Grafische Ansicht,Erstellen eines Graphischen Views
You can bookmarks your favorite data products or data providers.,Sie können Ihre bevorzugten Datenprodukte oder Datenprovider mit Lesezeichen versehen.,{'data provider': 'Datenprovider'},Du kannst deine Lieblings-Datenprodukte oder -Provider in Markierungen speichern.,Du kannst deine Lieblingsdatenprodukte oder -Provider eintragen.,Sie können Ihre bevorzugten Datenprodukte oder -Provider in Favoriten speichern.,Sie können Ihre bevorzugten Dataprojekte oder -Provider mit Favoriten verwalten.,Sie können Ihre bevorzugten Dataprojekte oder -Provider mit Favoriten verwalten.,{'data provider': 'Datenprovider'},Du kannst deine Lieblingsdatenprodukte oder -Provider in Markierungen eintragen.,Du kannst deine Lieblingsdatenprodukte oder -Provider in Markierungen eintragen.
Lock a release that has already been published.,"Sperren Sie ein Release, das bereits veröffentlicht wurde.",{'release': 'Release'},Veröffentlichte Release schließen.,"Veröffentlicht worden ist, einen Release verriegeln.","Verbinde einen Release, der bereits veröffentlicht wurde.",Verbinde einen bereits veröffentlichten Release.,Verbinde einen bereits veröffentlichten Release.,{'release': 'Release'},"Schließe den Entlassungsrückstand, der bereits veröffentlicht wurde.","Verbinde eine Veröffentlichung, die bereits veröffentlicht wurde."
"When you apply your data access control to a view, you must map each output column to an appropriate column in the view.","Wenn Sie Ihre Datenzugriffskontrolle auf einen anderen View anwenden, müssen Sie jede Ausgabespalte einer entsprechenden Spalte im View zuordnen.",{'access control': 'Zugriffskontrolle'},"Wenn Sie Ihre Datenzugriffsverwaltung auf eine View anwenden, müssen Sie jede Ausgabecolumn der Anwendung zu einer entsprechenden Spalte in der View mappen.","Wenn Sie Ihre Datenzugriffssteuerung auf eine View angewendet haben, müssen Sie jede Ausgabecolumn im View entsprechend zuordnen.","Wenn Sie Ihre Datenzugriffssteuerung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem passenden Spalten in der View mappen.","Wenn Sie Ihre Datenzugriffsverwaltung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem korrekten Spaltennamen mappen.","Wenn Sie Ihre Datenzugriffsverwaltung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem korrekten Spaltennamen mappen.",{'access control': 'Zugriffskontrolle'},"Zurückgeben Sie die angegebene Terminologie, wenn der Quellterm vorkommt.
Bitte geben Sie nur den Deutschen Übersetzung ohne Erklärungen, Einführungen, Bezeichnungen wie ""Hier ist die Übersetzung"".","Wenn Sie Ihre Datenzugriffssteuerung auf eine View angewendet haben, müssen Sie jede Ausgabecolumn zu einer entsprechenden Column in der View mappen."
