source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,qwen3b_basic,qwen3b_strong,qwen3b_no_term
"In the side navigation area, click  to open the My Data Provider Profile app.","Klicken Sie im seitlichen Navigationsbereich auf , um die App Mein Datenprovider-Profil zu öffnen.",{'data provider': 'Datenprovider'},"In der Seitenleiste klicken Sie auf , um die App ""Mein Datenprovider-Konto"" zu öffnen.","In der Seitenleiste klicken Sie auf , um die App ""Mein Datenprovider-Konto"" zu öffnen.","In der Seitenleiste klicken Sie auf , um die App ""Meine Datenverleiherprofil"" zu öffnen.","In der Seitenleiste klicken Sie auf , um die App ""Meine Datenproviderprofil"" zu öffnen.","In der Seitenleiste klicken Sie auf , um die App ""Meine Datenproviderprofil"" zu öffnen.",{'data provider': 'Datenprovider'},"Im Seitennavigationbereich klicken Sie, um das My Data Provider Profile-App öffnen zu lassen. 

Using the provided terminology:
Im Seitennavigationbereich klicken Sie, um das My Data Provider Profile-App des Datenproviders zu öffnen.","In der Seitenleiste klicken Sie, um das My Data Provider Profile-App öffnen.","Im Seitennavigationbereich klicken Sie, um das App ""Mein Datenanbieter-Profil"" zu öffnen."
"For connections that use the Data Provisioning agent to connect to the source, you can pause real-time replication while updating or maintaining the source or while upgrading the Data Provisioning agent.","Für Verbindungen, die den Datenbereitstellungs-Agent für die Verbindung zu der Quelle verwenden, können Sie die Echtzeitreplikation pausieren, während Sie die Quelle aktualisieren oder warten oder ein Upgrade für den Datenbereitstellungs-Agent durchführen.",{'pause': 'pausieren'},"Für Verbindungen, die mit dem Datenverwaltungsspezifischen Agent verbunden sind und auf den Quellserver zugreifen, kannst du während der Aktualisierung oder der Überprüfung des Quellservers sowie während der Upgrades des Datenverwaltungsspezifischen Agents Pause für das Realzeit-Replication einlegen.","Für Verbindungen, die mit dem Datenverwaltungsspezifischen Agent verbunden sind und auf den Quell- oder Zielserver zugreifen, kannst du während der Aktualisierung oder der Überprüfung des Quellservers sowie während der Upgrades des Datenverwaltungsspezifischen Agents Pause für das Realzeitkopiervorgang einlegen.","Für Verbindungen, die mit dem Datenverwaltungsspezifischen Agent verbunden sind, können Sie während der Aktualisierung oder der Überprüfung des Quelldatensatzes oder während der Upgrades des Datenverwaltungsspezifischen Agents Pause für den Realzeit-Replication eingeben.",Geräte mit dem Datenverwaltungsspezifischen Agent können während der Aktualisierung oder der Verwaltung des Quelldatensatzes oder während einer Upgradeprobe des Datenverwaltungsspezifischen Agents pausiert werden.,Geräte mit dem Datenverwaltungsspezifischen Agent können während der Aktualisierung oder der Verwaltung des Quelldatensatzes oder während einer Upgradeprobe des Datenverwaltungsspezifischen Agents pausiert werden.,{'pause': 'pausieren'},"Für Verbindungen, die mit dem Datenlieferungsaustausch-Agent verbunden sind, können Sie das in Echtzeit wiederherstellbare Datenaustauschen während der Aktualisierung oder Pflege des Quellsystems oder während der Upgrade des Datenlieferungsaustausch-Agenten pausieren.",Pausen Sie die in realzeit ausgeführte Replication während der Aktualisierung oder Pflege des Quellsystems oder während der Upgrade des Data Provisioning Agents.,"Für Verbindungen, die mit dem Datenlieferungsaustausch-Agent verbunden sind, können Sie die in Echtzeit gesicherte Kopie während der Aktualisierung oder Pflege des Quellsystems oder während der Upgrade des Datenlieferungsaustausch-Agenten pausieren."
The default values are:,Die Standardwerte sind:,{'default value': 'Standardwert'},Der Standardwert ist:,Standardwerte sind:,Default Werte:,Standardwerte:,Standardwerte:,{'default value': 'Standardwert'},Die Standardwerte sind:,Die Standardwerte sind:,Die Standardwerte sind:
Installment Plan category is 01,Ratenplantyp ist 01,{'installment plan category': 'Ratenplantyp'},Ratenplan-Kategorie ist 01,Ratenplanart ist 01,Kategorie Installments ist 01,Ratenplanart ist 01,Ratenplanart ist 01,{'installment plan category': 'Ratenplantyp'},Ratenplantyp ist 01,Ratenplantyp ist 01,Kategorie Installmentsatzung ist 01
Select Create Step.,Wählen Sie Schritt erstellen.,{'create': 'erstellen'},Erstelle Schritt.,Erstelle Schritt.,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn in deutscher Sprache übersetzen.",{'create': 'erstellen'},Erstellen Schritt.,Erstellen Schritt.,Wählen Sie Schritt Erstellen.
There are two items.,Es sind zwei Elemente vorhanden.,{'item': 'Element'},Zwei Elemente.,Elemente gibt es zwei.,Sicherheitsanforderungen und Sicherheitstechnologien.,There are two elements.,There are two elements.,{'item': 'Element'},Es gibt zwei Elemente.,Es gibt zwei Elemente.,Es gibt zwei Artikel.
Choose (Create) on the toolbar.,Wählen Sie dazu in der Symbolleiste die Option (Erstellen).,{'create': 'erstellen'},Erstelle auf der Werkzeugleiste.,Erstelle auf der Werkzeugleiste.,Von der Werkzeugspeicherung wählen (Erstellen).,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn in deutscher Sprache übersetzen.",{'create': 'erstellen'},Erstellen (erstellen) auf der Werkzeugleiste wählen.,Erstellen (Erstellen) auf der Werkzeugleiste.,Wählen Sie (Erstellen) auf der Werkzeugleiste.
Create New Cart,Neuen Einkaufswagen erstellen,{'create': 'erstellen'},Erstelle Neues Korb,Erstelle Neues Korb,Kartenaufbau erstellen,"Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:",{'create': 'erstellen'},"Erstellen neues Konto

Since ""Cart"" in this context is more commonly translated as ""Korb"" rather than ""Konto,"" I will provide the translation using the term ""Korb"" which is more appropriate for an online shopping context:

German translation:
Erstellen neuen Korb",Erstellen neues Konto,Neuen Korb erstellen
"To use new functionality of an adapter or update the adapter in case of issues that have been fixed in a new agent version, you can now refresh the adapter from the Administration in .","Sie können zur Nutzung der neuen Funktionen eines Adapters oder zum Aktualisieren des Adapters bei Problemen, die in einer neuen Agentenversion behoben wurden, den Adapter nun über die Administration in  aktualisieren.",{'use': 'Nutzung'},"Nun können Sie den Adapter aktualisieren oder neue Funktionalität nutzen, wenn Probleme, die in einer neuen Agent-Version behoben wurden, behandelt werden, indem Sie den Adapter im Administration-Modul aus der Nützung aktualisieren.","Nehmen Sie es nur die deutsche Übersetzung zurück. Lassen Sie keine Erklärung hinterlassen.
Wenn ein Quellwort im englischen Satz vorkommt, verwenden Sie den exakten deutschen Zielwort aus dem Terminierungsliste.

Terminologie:
use -> Nutzung

Englisch: Wenn neue Funktionalität eines Adapter oder bei Problemen, die in einer neuen Agent-Version behoben wurden, aktualisiert werden müssen, können Sie nun das Adapter von der Administration neu laden.","Sie können nun den Adapter aus der Administration aktualisieren oder neu installieren, wenn Sie neue Funktionen eines Adapters verwenden möchten oder wenn Sie Probleme mit einem neuen Agentversion haben.","Gerne! Hier ist die deutsche Übersetzung:

Nützliche Funktionen einer Adapter oder das Aktualisieren der Adapter bei Problemen, die durch eine neue Agent-Version behoben wurden, können Sie nun aus dem Administration-Panel neu laden.","Nützliche Funktionen einer Adapter oder das Aktualisieren der Adapter bei Problemen, die durch eine neue Agent-Version behoben wurden, können Sie nun aus dem Administration-Panel neu laden.",{'use': 'Nutzung'},"Nutzung der neuen Funktionen eines Anpasstellers oder die Aktualisierung des Anpasstellers im Falle von Problemen, die in einer neuen Version des Agents behoben wurden, können Sie nun vom Administration Bereich des Systems den Anpassteller aktualisieren.","Nutzung der neuen Funktionen eines Anpasstellers oder die Aktualisierung des Anpasstellers im Falle von Problemen, die in einer neuen Agent-Version behoben wurden, können Sie jetzt im Administration Bereich des von .","Um neue Funktionen eines Anpasstellers zu verwenden oder den Anpassteller zu aktualisieren falls bei einer neuen Agent-Version Fehler behoben wurden, können Sie jetzt den Anpassteller im Administration Bereich von ."
Select the Space you want to work in.,"Wählen Sie den Space aus, in dem Sie arbeiten möchten.",{'space': 'Space'},"Wählen Sie den Raum, in dem Sie arbeiten möchten.","Raum auswählen, in dem Sie arbeiten möchten.","Wählen Sie den Raum aus, in dem Sie arbeiten möchten.",Gerne! Bitte geben Sie den deutschen Übersetzungssatz an.,Gerne! Bitte geben Sie den deutschen Übersetzungssatz an.,{'space': 'Space'},Wählen Sie das gewünschte Space aus.,"Wähle den Space aus, in dem du arbeiten willst.","Wählen Sie den Raum aus, in dem Sie arbeiten möchten."
The job is created.,Der Job wird erstellt.,{'job': 'Job'},Der Job wurde erstellt.,Der Job wurde erstellt.,Der Job wurde erstellt.,Der Job wurde erstellt.,Der Job wurde erstellt.,{'job': 'Job'},Der Job wird erstellt.,Der Job wird erstellt.,Die Arbeit wird erstellt.
Select your dedicated space from the drop-down menu.,Wählen Sie den entsprechenden Space im Dropdown-Menü aus.,{'space': 'Space'},Wählen Sie Ihren speziellen Raum aus dem Dropdown-Menü.,Suche deinen speziellen Raum aus dem Dropdown-Menü aus.,Von der Dropdownmenüauswahl wählen Sie Ihre spezielle Ressource.,Von der Dropdownliste wählen Sie Ihren Speicherort aus.,Von der Dropdownliste wählen Sie Ihren Speicherort aus.,{'space': 'Space'},"Wählen Sie das benutzerdefinierte Space aus der Dropdown-Menü.

Note: The term ""Space"" is capitalized as it appears to be a specific product or service name in this context. If ""Space"" is meant to be a general term, it should remain lowercase. Here's both options:

1. Wählen Sie das benutzerdefinierte Space aus der Dropdown-Menü.
2. Wählen Sie das benutzerdefinierte Space aus dem Dropdown-Menü.",Wählen Sie das benutzerdefinierte Space aus der Dropdown-Liste.,Wählen Sie Ihr besonderes Raumfeld aus der Dropdown-Menü.
Select an Event Type from the drop-down menu.,Wählen Sie eine Ereignisart im Dropdown-Menü aus.,{'type': 'Art'},Wähle eine Veranstaltungstyp aus dem Dropdown-Menü.,Art auswählen aus dem Dropdown-Menü.,Von der Dropdownliste wählen Sie eine Ereignistyp aus.,Art auswählen из выпадающего списка.,Art auswählen из выпадающего списка.,{'type': 'Art'},Wählen Sie eine Art von Ereignis aus dem Dropdown-Menü aus.,Wählen Sie eine Art von Termin aus der Dropdown-Menü.,Wählen Sie eine Ereignistyp aus der Dropdown-Menü.
Display Asset Master Worklist,Arbeitsliste der Anlagenstämme anzeigen,"{'worklist': 'Arbeitsliste', 'display': 'Anzeige', 'asset': 'Anlage'}",Anzeige der Arbeitsliste für die Anlagemaster,Arbeitsliste für die Anlagemasteranzeige,Vorschau des Asset-Master-Worklists,Arbeitsliste für die Anlage-Verwaltung anzeigen,Arbeitsliste für die Anlage-Verwaltung anzeigen,"{'worklist': 'Arbeitsliste', 'display': 'Anzeige', 'asset': 'Anlage'}",Anzeige Anlage Arbeitsliste,Anzeige Anlage Arbeitsliste,Anzeige von Aktivitätsverwaltungsmasterliste
Choose Maintain Restrictions.,Wählen Sie Einschränkungen pflegen.,{'restriction': 'Einschränkung'},Einschränkungen behalten.,Einschränkungen bewahren.,"Von der Liste wählen Sie die Option ""Verwenden von Restriktionen"".",Einschränkungen behalten.,Einschränkungen behalten.,{'restriction': 'Einschränkung'},Wählen Sie Einschränkungen behalten.,Wählen Sie Einschränkungen.,Wählen Sie Schranken beibehalten.
Text = Selection Criteria,Text = Selektionskriterien,{'selection': 'Selektion'},Text = Auswahlkriterien,Selektion der Textinformationen,Text = Auswahlkriterien,Text = Auswahlkriterien,Text = Auswahlkriterien,{'selection': 'Selektion'},"German translation:
Selektionskriterien",Selektionskriterien,Selektionskriterien
Your role determines what you can do with a schedule.,"Ihre Rolle legt fest, was Sie mit einem Terminplan tun können.",{'schedule': 'Terminplan'},"Dein Rolle bestimmt, was du mit einem Terminplan machen kannst.","Dein Rolle bestimmt, was du mit einem Terminplan machen kannst.","Deine Rolle bestimmt, was du mit einem Kalender machen kannst.","Deine Rolle bestimmt, was du mit einem Termin planen kannst.","Deine Rolle bestimmt, was du mit einem Termin planen kannst.",{'schedule': 'Terminplan'},"Dein Rollenbestimmung bestimmt, was mit einem Terminplan gemacht werden kann. 

Note: The term ""schedule"" is translated to ""Terminplan"" as provided. However, in everyday German usage, people might also say ""Terminkalender"" or simply ""Plan"" for a schedule. If you want to stick strictly to the given terminology, the translation above is correct.","Dein Rollenbestimmung bestimmt, was mit einem Terminplan gemacht werden kann.","Dein Rollenbestimmung bestimmt, was du mit einem Kalender machen kannst."
2) Insert operation,2) Einfügen Vorgang,"{'operation': 'Vorgang', 'insert': 'einfügen'}",Einfügen-Vorgang,einfügen,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn für Sie in deutscher Sprache übersetzen.","{'operation': 'Vorgang', 'insert': 'einfügen'}",2) Einfügungsvorgang,Vorgang einfügen,2) Einfügen-Vorgang
"In the final wizard step, enter name and description for the connection and click Create Connection.","Geben Sie im letzten Schritt des Assistenten einen Namen und eine Beschreibung für die Verbindung ein, und klicken Sie auf Verbindung anlegen.",{'create': 'anlegen'},Anlegen Sie den Namen und Beschreibung für die Verbindung ein und klicken Sie auf Anlegen der Verbindung.,Anlegen der Namen und Beschreibung für die Verbindung und Klicken Sie auf Anlegen Verbindung.,In der letzten Wizard-Schritt geben Sie Namen und Beschreibung für die Verbindung ein und klicken Sie auf Erstellen von Verbindung.,"Gerne! Hier ist die deutsche Übersetzung:

Anlegen Sie im letzten Wizard-Schritt den Namen und Beschreibung für das Verbindungsschema ein und klicken Sie auf Anlegen der Verbindung.",Anlegen Sie im letzten Wizard-Schritt den Namen und Beschreibung für das Verbindungsschema ein und klicken Sie auf Anlegen der Verbindung.,{'create': 'anlegen'},Im letzten Zauberstufe schreiben Sie den Namen und die Beschreibung für die Verbindung ein und klicken auf Anlegen der Verbindung.,Im letzten Zauberstufen schließen Sie den Namen und die Beschreibung für die Verbindung ein und klicken auf Anlegen der Verbindung.,Im letzten Zauberstufen schließen Sie den Namen und die Beschreibung für die Verbindung ein und klicken auf Erstellen der Verbindung.
Check the output panel.,Überprüfen Sie den Ausgabebereich.,{'panel': 'Bereich'},Bereich überprüfen.,Bereich überprüfen,Check das Ausgabepaneel.,"Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:  
Bereich überprüfen","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:  
Bereich überprüfen",{'panel': 'Bereich'},Überprüfe den Ausgabebereich.,Bereich prüfen,Überprüfe das Ausgabefenster.
Creating an Association in the Side Panel,Assoziationen im Seitenbereich erstellen,{'side panel': 'Seitenbereich'},Erstellen Sie eine Verbindung im Seitenbereich,Seitenbereich erstellen,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Deine Frage oder Anfrage gibt es nicht.",Deine Frage oder Anfrage gibt es nicht.,{'side panel': 'Seitenbereich'},Erstellen einer Vereinigung im Seitenbereich,Erstellen einer Vereinigung im Seitenbereich,Erstellen einer Vereinigung im Seitenleisten
"In the side navigation area, click , select the space you want to work in, and click New Graphical View to open the editor.","Klicken Sie im seitlichen Navigationsbereich auf , wählen Sie den Space aus, in dem Sie arbeiten möchten, und klicken Sie auf Neuer grafischer View, um den Editor zu öffnen.",{'graphical view': 'grafischer View'},"In der Seitenleiste klicken Sie auf , wählen Sie die Räume aus, in denen Sie arbeiten möchten, und klicken Sie auf Neue Grafische Ansicht, um den Editor zu öffnen.","In der Seitenleiste klicken Sie auf , wählen Sie die Räume aus, in denen Sie arbeiten möchten und klicken Sie dann auf ""Neue Grafische Ansicht"" um den Editor zu öffnen.","In der Seitenleiste klicken Sie auf , wählen Sie das Arbeitsraum aus, den Sie bearbeiten möchten, und klicken Sie dann auf Neue Grafische Ansicht, um die Editor zu öffnen.","Gerne! Hier ist die deutsche Übersetzung:

In der Seitennavigation klicken Sie auf , wählen Sie das Arbeitsraum aus, den Sie bearbeiten möchten, und klicken Sie dann auf Neue Grafische Ansicht, um den Editor zu öffnen.","In der Seitennavigation klicken Sie auf , wählen Sie das Arbeitsraum aus, den Sie bearbeiten möchten, und klicken Sie dann auf Neue Grafische Ansicht, um den Editor zu öffnen.",{'graphical view': 'grafischer View'},"Im Seitennavigationbereich klicken, wählen Sie die Arbeitsumgebung aus, die Sie bearbeiten möchten, und klicken auf Neuer grafischer View, um den Editor zu öffnen.","In der Seitennavigation klicken, wählen Sie die Arbeitsumgebung aus, die Sie bearbeiten möchten, und klicken auf Grafischer View, um den Editor zu öffnen.","Im Seitennavigationbereich klicken, die gewünschte Raum auswählen und dann Neues grafisches Ansichtsknoten anklicken, um den Editor zu öffnen."
Select Create Space.,Wählen Sie Space erstellen.,"{'create': 'erstellen', 'space': 'Space'}",Erstelle Space.,Erstelle Space.,"Sparen Sie sich auf die Auswahl der Option ""Erstellen von Ressourcenbereich"".","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:","{'create': 'erstellen', 'space': 'Space'}",Erstellen Sie Space.,Erstellen Sie Space.,Wähle Raum erstellen.
Change Report Documents,Ändern Sie die Reportdokumente.,{'document': 'Dokument'},Berichtsdokumente,Dokumente der Änderungsberichte,Gerichtsverfahrensdokumente ändern,Dokumente für den Bericht变更,Dokumente für den Bericht变更,{'document': 'Dokument'},Changebericht-Dokumente,Änderungsbericht-Dokumente,Änderungsbericht Dokumente
Select your DWC space.,Wählen Sie Ihren DWC-Space aus.,{'space': 'Space'},Wählen Sie Ihren DWC-Space.,Wählen Sie Ihren DWC-Space.,Wählen Sie Ihren DWC-Raum.,"Gerne! Hier ist die deutsche Übersetzung:

Deutsch: Wählen Sie Ihren Space aus.",Deutsch: Wählen Sie Ihren Space aus.,{'space': 'Space'},Wähle deine DWC-Space.,Wähle deine DWC-Space.,Wählen Sie Ihr DWC-Räumliche.
Select one of the following the shipment types:,Wählen Sie einen der folgenden Lieferungstypen aus:,{'type': 'Typ'},Auswahl eines der folgenden Lieferungsarten:,Typ eines der folgenden Lieferungsarten auswählen:,Von den folgenden Optionen wählen Sie eine der Art der Lieferung aus:,"Terminology:
shipment type -> Lieferungsart

German: Wählen Sie aus den folgenden Lieferungsarten eine an:","Terminology:
shipment type -> Lieferungsart

German: Wählen Sie aus den folgenden Lieferungsarten eine an:",{'type': 'Typ'},Wählen Sie eines der folgenden Versandtypen aus:,Wählen Sie eines der folgenden Versandtypen:,Wählen Sie eine der folgenden Versandarten aus:
"User ids must be in the format required by your identity provider, which may be email addresses, logon names, or other identifiers.","Benutzer-IDs müssen das für Ihren Identity-Provider erforderliche Format aufweisen, wie z. B. E-Mail-Adressen, Anmeldenamen oder andere Identifikatoren.",{'identifier': 'Identifikator'},"Benutzer IDs müssen im Format der Ihre Identitätspflichten erfordert sind, das möglicherweise E-Mail-Adressen, Benutzernamen oder andere Identitätsidentifizierer sein könnte.","Identifikatoren müssen im Format der eingeschriebenen Identitätsanbieter sein, das möglicherweise E-Mail-Adressen, Benutzername oder andere Identifizierer beinhalten.","User IDs müssen im Format des Identitätsproviders angegeben werden, der möglicherweise E-Mail-Adressen, Benutzername oder andere Identifikationsschlüssel enthalten kann.","Identifikatoren müssen im Format der Benutzer ID Ihres Identitätsproviders sein, der möglicherweise E-Mail-Adressen, Logon-Namen oder andere Identifizierer ist.","Identifikatoren müssen im Format der Benutzer ID Ihres Identitätsproviders sein, der möglicherweise E-Mail-Adressen, Logon-Namen oder andere Identifizierer ist.",{'identifier': 'Identifikator'},"Die Benutzerids müssen im Format erforderlich von Ihrem Identitätsanbieter sein, was Emailadressen, Logonnamen oder andere Identifikatoren sein kann.","Benutzerids müssen im Format erforderlich von Ihrem Identitätsanbieter sein, was diesmait E-Mail-Adressen, Logon-Namen oder andere Identifikatoren sein kann.","Benutzerids müssen im Format erforderlich von Ihrem Identitätsanbieter sein, was dies Emailadressen, Logon-Namen oder andere Identifikatoren sein kann."
"Go to Data Builder, choose the dedicated space → New Graphical View → Sources → DWC_AUDIT_READER (schema) → drag and drop the view DDP_AUDIT_LOG onto the canvas.","Wechseln Sie zum Data Builder, wählen Sie den dedizierten Space → Neuer grafischer View → Quellen → DWC_AUDIT_READER (Schema) → ziehen Sie den View DDP_AUDIT_LOG per Drag&Drop in den Grafikbereich.","{'source': 'Quelle', 'canvas': 'Grafikbereich'}","Gehen Sie zu Data Builder, wählen Sie den speziellen Bereich → Neue Grafische Ansicht → Quellen → DWC_AUDIT_READER (Schema) → ziehen und stellen Sie die Ansicht DDP_AUDIT_LOG auf dem Grafikbereich bereit.","Gehen Sie zu Data Builder, wählen Sie den speziellen Bereich → Neue Grafische Ansicht → Quellen → DWC_AUDIT_READER (Schema) → ziehen und ziehen Sie die Ansicht DDP_AUDIT_LOG auf das Grafikbereich.","Go to Data Builder, select the dedicated space -> New Graphical View -> Sources -> DWC_AUDIT_READER (schema) -> drag and drop the view DDP_AUDIT_LOG onto the canvas.","Go to Data Builder, select the dedicated space → New Graphical View → Sources → DWC_AUDIT_READER (schema) → drag and drop the view DDP_AUDIT_LOG onto the canvas.","Go to Data Builder, select the dedicated space → New Graphical View → Sources → DWC_AUDIT_READER (schema) → drag and drop the view DDP_AUDIT_LOG onto the canvas.","{'source': 'Quelle', 'canvas': 'Grafikbereich'}","Gehe zu Data Builder, wähle das spezielle Raumbereich → Neues grafisches Ansichtsbild → Quellen → DWC_AUDIT_READER (Schema) → den Ansichtswert DDP_AUDIT_LOG auf dem Grafikbereich ziehen und ablegen.","Gehe zu Data Builder, wähle das spezielle Raum → Neues grafisches Ansicht → Quellen → DWC_AUDIT_READER (Schema) → den Ansicht DDP_AUDIT_LOG auf dem Grafikbereich ziehen und ablegen.","Gehe zu Data Builder, wähle das spezielle Raum → Neues grafisches Ansicht → Quellen → DWC_AUDIT_READER (Schema) → den Ansicht DDP_AUDIT_LOG ziehe und platziere auf der Leinwand."
Business User Guide,Leitfaden für Fachanwender,"{'Business Users': 'Anwender', 'business user': 'Anwender'}",Anwenderhandbuch für Business-Anwendungen,Anwenderhandbuch,Business User Guide,Anwenderhandbuch,Anwenderhandbuch,"{'Business Users': 'Anwender', 'business user': 'Anwender'}",Anwenderhandbuch,Anwenderhandbuch,Business Benutzerhandbuch
Upload XSD file.,Führen Sie den Upload der XSD-Datei aus.,{'load': 'Load'},Hochladen des XSD-Dateisatzes.,Hochladen des XSD-Dateiforms.,Upload XSD-Datei,Upload XSD-Datei.,Upload XSD-Datei.,{'load': 'Load'},Load XSD-Datei.,Load XSD-Datei.,Upload XSD-Datei.
Sharing a Schedule,Einen Terminplan teilen,{'schedule': 'Terminplan'},Terminplan teilen,Terminplan teilen,Gerichtete Vorbereitung,Terminplan teilen,Terminplan teilen,{'schedule': 'Terminplan'},Terminplan teilen,Terminplanën,Teilnahme an einem Kalender
Item Name:Postings and Documents,Item-Name:Buchungen und Belege,{'item': 'Item'},Name des Items: Postungen und Dokumente,Itemname: Posten und Dokumente,Name: Postings und Dokumente,Item Name: Postings und Dokumente,Item Name: Postings und Dokumente,{'item': 'Item'},Item Name: Postungen und Dokumente,Itemname: Postungen und Dokumente,Item Name: Postungen und Dokumente
SAP Help Portal access,Zugriff auf SAP Help Portal,{'access': 'Zugriff'},SAP Hilfssitezugriff,Zugriff auf SAP-Hilfstelle,SAP Hilfeportal Zugang,SAP Hilfeportal Zugriff,SAP Hilfeportal Zugriff,{'access': 'Zugriff'},Zugriff auf den SAP-Helfer-Portal,SAP-Hilfe-Portal-Zugriff,SAP-Hilfe-Portal-Zugang
Create two schedules:,Legen Sie zwei Dokumente an:,{'schedule': 'Dokument'},Erstelle zwei Schedules:,Drei Schedules erstellen:,"Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.",{'schedule': 'Dokument'},Erstellen Sie zwei Dokumente:,Erstellen zwei Dokumente:,Erstelle zwei Zeiträume:
The My Data Provider Profile App,"App ""Mein Datenproviderprofil""",{'data provider': 'Datenprovider'},Die My Data Provider Profile App,DatenProvider-Profil-App,My Daten-Provider-Profil-Anwendung,My Datenprovider-Profil-App,My Datenprovider-Profil-App,{'data provider': 'Datenprovider'},Die Datenprovider-Profil-Anwendung,Die Datenprovider Profil-Anwendung,Die My Daten Anbieter Profil App
"For more information, see Party Processing.",Weitere Informationen finden Sie unter Parteiverarbeitung.,{'part': 'Part'},Für weitere Informationen siehe Verarbeitung von Parteien.,Für weitere Informationen siehe Partierungsverarbeitung.,"Sobald Sie mehr Informationen benötigen, finden Sie das Thema unter Party Processing.",Partially processed party data can be used for further processing or reporting purposes.,Partially processed party data can be used for further processing or reporting purposes.,{'part': 'Part'},"Für mehr Informationen, siehe Partverarbeitung.","Für mehr Informationen, siehe Partverarbeitung.","Für mehr Informationen, siehe Datenverarbeitung."
Displays Client Credentials as grant type used to retrieve an access token.,"Zeigt Client-Anmeldeinformationen als Erteilungsart an, die zum Abrufen eines Zugriffstokens verwendet wird.",{'credentials': 'Anmeldeinformationen'},"Zeigt die Benutzeranmeldeinformationen als Grant-Type verwendet, um einen Zugangstoken zu erhalten.","Anmeldeinformationen als Grant-Type verwendet, um einen Zugangstoken zu erhalten.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Anmeldeinformationen als Grant-Type anzeigen, um einen Zugriffstoken zu erhalten.","Anmeldeinformationen als Grant-Type anzeigen, um einen Zugriffstoken zu erhalten.",{'credentials': 'Anmeldeinformationen'},"Anmeldeinformationen als Berechtigungsart angezeigt, die zur Abruf eines Zugriffstokens verwendet wird.","Anmeldeinformationen als Berechtigungsart angezeigt, die zur Abruf eines Zugriffstokens verwendet wird.","Zeigt die Clientcredentials als Anmeldeartefakt an, das zur Abruf eines Zugangsatzes verwendet wird."
Select Label from the dropdown.,Wählen Sie Label aus der Dropdown-Liste aus.,{'label': 'Label'},Wählen Sie das Label aus dem Dropdown-Menü.,Label aus dem Dropdown wählen.,Von der Dropdownliste wählen Sie das Label aus.,Select Label aus dem Dropdown-Menü.,Select Label aus dem Dropdown-Menü.,{'label': 'Label'},"Wählen Sie das Label aus der Dropdown-Liste.

Note: I've used ""auswählen"" (to select) as it's more commonly used in this context compared to ""wählen"" (to choose). The term ""Label"" is correctly translated as ""Label.""",Wählen Sie Label aus der Dropdownliste.,Wählen Sie Label aus der Dropdownliste.
